model = BaggingRegressor(n_estimators=q)
q c a smape
7 9 7 0.320255417374
7 9 8 0.328356789553
7 9 9 0.320438745028
8 1 1 0.462902476624
8 1 2 0.499666402634
8 1 3 0.480043629419
8 1 4 0.466062433546
8 1 5 0.489179922857
8 1 6 0.516993447279
8 1 7 0.517811957611
8 1 8 0.542220378686
8 1 9 0.48896100735
8 2 1 0.433208402244
8 2 2 0.421025784733
8 2 3 0.417810769391
8 2 4 0.404447923336
8 2 5 0.425218897294
8 2 6 0.414022461431
8 2 7 0.412008659829
8 2 8 0.448330856224
8 2 9 0.448044049406
8 3 1 0.391766115868
8 3 2 0.391654545041
8 3 3 0.392216230134
8 3 4 0.416219563761
8 3 5 0.379056650654
8 3 6 0.38891657298
8 3 7 0.391503610157
8 3 8 0.401527680773
8 3 9 0.412221929639
8 4 1 0.381471449879
8 4 2 0.369455133286
8 4 3 0.40852918882
8 4 4 0.354636901464
8 4 5 0.393087232273
8 4 6 0.361677310256
8 4 7 0.400600733648
8 4 8 0.382025235772
8 4 9 0.370934125825
8 5 1 0.369805654372
8 5 2 0.357680523706
8 5 3 0.348273668817
8 5 4 0.345577633042
8 5 5 0.343050971699
8 5 6 0.347883802073
8 5 7 0.350043586933
8 5 8 0.345816686214
8 5 9 0.351010501669
8 6 1 0.344855311998
8 6 2 0.337300635802
8 6 3 0.332682469643
8 6 4 0.328937990236
8 6 5 0.330247200278
8 6 6 0.326000105537
8 6 7 0.332872148814
8 6 8 0.327019603581
8 6 9 0.324655691347
8 7 1 0.345064370764
8 7 2 0.331811987868
8 7 3 0.333435740344
8 7 4 0.324516070375
8 7 5 0.327377021122
8 7 6 0.325522713789
8 7 7 0.320924038828
8 7 8 0.326402922404
8 7 9 0.324991488485
8 8 1 0.346730646683
8 8 2 0.330537966651
8 8 3 0.326984968269
8 8 4 0.351214246744
8 8 5 0.323253182663
8 8 6 0.337883841107
8 8 7 0.342349896103
8 8 8 0.320576775528
8 8 9 0.322002519844
8 9 1 0.335264306116
8 9 2 0.343250575048
8 9 3 0.324523881827
8 9 4 0.328100520736
8 9 5 0.329694356062
8 9 6 0.320077327297
8 9 7 0.319500851865
8 9 8 0.319962173034
8 9 9 0.320300759864
9 1 1 0.472182390227
9 1 2 0.499811222119
9 1 3 0.478866219295
9 1 4 0.53102395196
9 1 5 0.49500605661
9 1 6 0.515724015804
9 1 7 0.527728425295
9 1 8 0.528565196618
9 1 9 0.517635944693
9 2 1 0.400700068012
9 2 2 0.442832328088
9 2 3 0.40328618077
9 2 4 0.420052925953
9 2 5 0.452574600034
9 2 6 0.404271496299
9 2 7 0.414563129196
9 2 8 0.431200022027
9 2 9 0.436849238393
9 3 1 0.381695047415
9 3 2 0.365575406579
9 3 3 0.390827330898
9 3 4 0.41077422904
9 3 5 0.398599588779
9 3 6 0.399636664671
9 3 7 0.407515132585
9 3 8 0.389292331383
9 3 9 0.406178466933
9 4 1 0.366462654204
9 4 2 0.395793525074
