model = BaggingRegressor(n_estimators=q)
q c a smape
19 4 9 0.366578853924
19 5 1 0.377528126934
19 5 2 0.352993959534
19 5 3 0.341210154652
19 5 4 0.342736193046
19 5 5 0.336861201354
19 5 6 0.345462333417
19 5 7 0.331111799377
19 5 8 0.338494341059
19 5 9 0.335811387306
19 6 1 0.344964816652
19 6 2 0.329103601298
19 6 3 0.323524173137
19 6 4 0.32203169754
19 6 5 0.319553723633
19 6 6 0.320184818101
19 6 7 0.31876266959
19 6 8 0.318040038158
19 6 9 0.319376603936
19 7 1 0.348243328423
19 7 2 0.324558013543
19 7 3 0.322335138864
19 7 4 0.3204741061
19 7 5 0.318261218248
19 7 6 0.317487134644
19 7 7 0.317597964607
19 7 8 0.317508566885
19 7 9 0.31946487259
19 8 1 0.331589917551
19 8 2 0.334351967761
19 8 3 0.3252362733
19 8 4 0.325071409133
19 8 5 0.314742600596
19 8 6 0.326893090731
19 8 7 0.319199379447
19 8 8 0.3161078937
19 8 9 0.316055441356
19 9 1 0.350065851003
19 9 2 0.335395269638
19 9 3 0.324705009195
19 9 4 0.328930417903
19 9 5 0.316756988855
19 9 6 0.313848050808
19 9 7 0.325372483956
19 9 8 0.316378649843
19 9 9 0.309992576418
